year,region,type,fishery,CWT_catch,tot_catch
2016,ISC,Commercial,Troll,NA,0
2017,CCST,Commercial,Net,NA,536
2017,ISC,Commercial,Troll,NA,0
2018,CCST,Commercial,Net,NA,0
2018,ISC,Commercial,Troll,NA,1
2019,CCST,Commercial,Net,NA,6
2020,CCST,Commercial,Net,NA,0
2020,CCST,Rec,Rec,NA,8176.648700307667
2020,CCST,Commercial,Troll,NA,0
2020,ISC,Commercial,Troll,NA,0
