year,region,type,fishery,CWT_catch,tot_catch
2020,WCVI,Commercial,Troll,677.05,11305
1996,CCST,Commercial,Troll,NA,0
1996,ISC,Commercial,Troll,NA,0
1996,NCST,Commercial,Troll,NA,8
1996,WCVI,Commercial,Troll,NA,4
1998,CCST,Commercial,Troll,NA,2188
1998,ISC,Commercial,Troll,NA,2547
1999,ISC,Commercial,Troll,NA,314
2000,ISC,Commercial,Troll,NA,694
2000,WCVI,Commercial,Net,NA,25
2001,CCST,Commercial,Troll,NA,0
2001,WCVI,Commercial,Net,NA,70
2003,CCST,Commercial,Net,NA,2816
2003,CCST,Commercial,Troll,NA,0
2004,CCST,Commercial,Net,NA,5403
2004,CCST,Commercial,Troll,NA,0
2005,CCST,Commercial,Troll,NA,22
2005,ISC,Commercial,Troll,NA,0
2006,CCST,Commercial,Net,NA,5298
2006,CCST,Commercial,Troll,NA,0
2006,ISC,Commercial,Troll,NA,15
2007,CCST,Commercial,Troll,NA,0
2007,ISC,Commercial,Troll,NA,0
2008,CCST,Commercial,Net,NA,1184
2008,CCST,Commercial,Troll,NA,9
2008,ISC,Commercial,Troll,NA,0
2009,ISC,Commercial,Troll,NA,0
2010,CCST,Commercial,Troll,NA,0
2010,ISC,Commercial,Troll,NA,0
2010,WCVI,Commercial,Net,NA,1747
2011,CCST,Commercial,Troll,NA,0
2011,ISC,Commercial,Troll,NA,52
2012,CCST,Commercial,Troll,NA,0
2012,ISC,Commercial,Troll,NA,0
2012,NCST,Commercial,Net,NA,780
2013,CCST,Commercial,Troll,NA,0
2013,ISC,Commercial,Troll,NA,0
2013,WCVI,Commercial,Net,NA,8859
2014,CCST,Commercial,Troll,NA,0
2014,ISC,Commercial,Troll,NA,2
2015,CCST,Commercial,Troll,NA,0
2015,ISC,Commercial,Troll,NA,0
2016,CCST,Commercial,Troll,NA,0
2016,ISC,Commercial,Troll,NA,0
2017,CCST,Commercial,Troll,NA,0
2017,ISC,Commercial,Troll,NA,0
2018,CCST,Commercial,Troll,NA,0
2018,ISC,Commercial,Troll,NA,6
2019,CCST,Commercial,Troll,NA,0
2020,CCST,Commercial,Troll,NA,0
2020,ISC,Commercial,Troll,NA,0
