stock,recY,area,expcatch,totcatch,enhanced_prop,mort_rate,adj_catch,annual_adj_catch
Fish Cr+Airport Ch,1987,"7,8,9",42841,767785,0.05579817266552485,NA,42841,43678
Fish Cr+Airport Ch,1988,"7,8,9",130169,1198490,0.1086108353010872,NA,130169,130169
Fish Cr+Airport Ch,1989,"3,4,5",177,260088,6.805388945280059e-4,NA,177,39318
Fish Cr+Airport Ch,1989,"7,8,9",39141,345184,0.11339169834059516,NA,39141,39318
Necleetsconnay R,1984,"7,8,9",1597,298775,0.005345159400886955,NA,1597,1597
Necleetsconnay R,1985,"7,8,9",6961,781237,0.008910228266198349,NA,6961,6961
Necleetsconnay R,1986,"7,8,9",31114,1990386,0.015632143714837222,NA,31114,31114
Necleetsconnay R,1987,6,1306,116378,0.011222052277921944,NA,1306,41143
Necleetsconnay R,1987,"7,8,9",39837,767785,0.051885619020949875,NA,39837,41143
Necleetsconnay R,1988,"7,8,9",30605,1198490,0.02553629984397033,NA,30605,30605
Necleetsconnay R,1989,"3,4,5",1477,260088,0.005678847159422964,NA,1477,20819
Necleetsconnay R,1989,"7,8,9",19342,345184,0.05603388337814035,NA,19342,20819
Noohalk Cr,1983,"7,8,9",1362,356771,0.0038175748589431317,NA,1362,1362
Noohalk Cr,1984,"7,8,9",1153,298775,0.003859091289431847,NA,1153,1153
Noohalk Cr,1985,"7,8,9",230,781237,2.944048988975177e-4,NA,230,230
Saloompt R,1982,"7,8,9",1228,448479,0.002738143814983533,NA,1228,1228
Saloompt R,1983,"7,8,9",6994,356771,0.019603611280064805,NA,6994,6994
Saloompt R,1984,"7,8,9",3992,298775,0.013361225002091874,NA,3992,3992
Saloompt R,1985,"7,8,9",10468,781237,0.013399262963735717,NA,10468,10468
Saloompt R,1986,"7,8,9",60702,1990386,0.030497601972682687,NA,60702,60702
Saloompt R,1987,6,2622,116378,0.022530031449242986,NA,2622,50641
Saloompt R,1987,"7,8,9",48019,767785,0.06254224815540808,NA,48019,50641
Saloompt R,1988,"7,8,9",117545,1198490,0.09807758095603634,NA,117545,117545
Saloompt R,1989,"3,4,5",411,260088,0.0015802343822090984,NA,411,28845
Saloompt R,1989,"7,8,9",28434,345184,0.08237345879299156,NA,28434,28845
Snootli Cr,1981,"7,8,9",196,513611,3.8161176454554126e-4,NA,196,196
Snootli Cr,1982,"7,8,9",1202,448479,0.002680170086001797,NA,1202,1202
Snootli Cr,1983,"7,8,9",7668,356771,0.021492778280745913,NA,7668,7668
Snootli Cr,1984,"7,8,9",3712,298775,0.01242406493180487,NA,3712,3712
Snootli Cr,1985,"7,8,9",9136,781237,0.011694274592729223,NA,9136,9136
Snootli Cr,1986,"7,8,9",23577,1990386,0.011845441035055512,NA,23577,23577
Snootli Cr,1987,6,422,116378,0.003626114901441853,NA,422,35861
Snootli Cr,1987,"7,8,9",35439,767785,0.046157452932787175,NA,35439,35861
Snootli Cr,1988,"7,8,9",81431,1198490,0.0679446637018248,NA,81431,81431
Snootli Cr,1989,"3,4,5",1365,260088,0.0052482236781397065,NA,1365,28166
Snootli Cr,1989,"7,8,9",26801,345184,0.07764264855844999,NA,26801,28166
Thorsen Cr/CCST,1987,"7,8,9",4186,767785,0.0054520471225668644,NA,4186,4186
